System,3wrobotNI
Controller,MPC
dt,0.05
state_init,[-3.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,1824.6490000000001,91.23245000000001,-0.22000000000000003,-0.284
0.0011,-3.0000001299947505,-3.000000000103529,1.5699998321885418,1824.6490727896899,182.46490363948453,-0.22000000000000003,-0.284
0.0111,-3.0000135499904004,-3.0000000109087295,1.5699825081885417,1824.656587318018,273.69773300538543,-0.22000000000000003,-0.284
0.0361,-3.00014334993796,-3.000000127417013,1.5698149481885417,1824.7292781834678,364.9341969145588,-0.22000000000000003,-0.284
