System,3wrobotNI
Controller,lqr
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,1824.6490000000001,182.46490000000003,0.0,0.0
0.0011,-3.0,-3.0,1.57,1824.6490000000001,364.92980000000006,0.0,0.0
0.0111,-3.0,-3.0,1.57,1824.6490000000001,547.3947000000001,0.0,0.0
0.0611,-3.0,-3.0,1.57,1824.6490000000001,729.8596000000001,0.0,0.0
